Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa07822	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa34881	G-protein beta-subunit binding
Mcavernosa19990	This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
Mcavernosa07946	regulation of embryonic development
Mcavernosa18124	translation initiation factor activity
Mcavernosa07918	positive regulation of protein homodimerization activity
Mcavernosa21339	alanine-oxo-acid transaminase activity
Mcavernosa29850	scavenger receptor activity
Mcavernosa01809	structural constituent of cuticle
Mcavernosa20940	zinc finger
Mcavernosa11187	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Mcavernosa04462	triphosphatase activity
Mcavernosa18061	gamma-aminobutyric acid type B receptor subunit
Mcavernosa14431	homophilic cell adhesion via plasma membrane adhesion molecules
Mcavernosa15142	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa04480	enhancer sequence-specific DNA binding
Mcavernosa33056	Nucleoporin
Mcavernosa09723	sulfuric ester hydrolase activity
Mcavernosa02327	posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
Mcavernosa05403	mRNA processing
Mcavernosa04989	serine-type endopeptidase activity
Mcavernosa28050	found in Wnt-1
Mcavernosa35013	actin binding
Mcavernosa12427	S-adenosylmethionine cycle
Mcavernosa35142	Ribonuclease H protein
Mcavernosa26216	Leucine-rich repeat
Mcavernosa04748	CUB and sushi
Mcavernosa26768	Family with sequence similarity 69 member C
Mcavernosa06452	-
Mcavernosa34649	negative regulation of cell proliferation involved in contact inhibition
Mcavernosa05112	Epoxide hydrolase 2
Mcavernosa07123	SRY (sex determining region Y)-box 17
Mcavernosa17342	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Mcavernosa15675	peptidyl-lysine hydroxylation
Mcavernosa27472	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin- GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function
Mcavernosa28742	mRNA processing
Mcavernosa33422	Bifunctional polynucleotide phosphatase kinase
Mcavernosa29188	TNF receptor-associated factor
Mcavernosa22562	Aflatoxin B1 aldehyde reductase member 2-like
Mcavernosa34443	translation initiation factor activity
Mcavernosa18186	cilium movement
Mcavernosa15496	vacuolar protein processing
Mcavernosa18294	retrograde vesicle-mediated transport, Golgi to ER
Mcavernosa15421	vesicle docking involved in exocytosis
Mcavernosa18760	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
Mcavernosa16990	zinc ion binding
Mcavernosa27237	phosphatidylinositol-4-phosphate phosphatase activity
Mcavernosa13021	K02A2.6-like
Mcavernosa01758	sphinganine-1-phosphate aldolase activity
Mcavernosa13553	TNF receptor-associated factor
Mcavernosa31795	TNF receptor-associated factor
Mcavernosa19117	Thrombospondin type 1 repeats
Mcavernosa02630	negative regulation of cell proliferation
Mcavernosa13456	CUB and zona pellucida-like domain-containing protein
Mcavernosa04644	regulation of glutamatergic neuron differentiation
Mcavernosa17078	transmembrane transport
Mcavernosa30957	phospholipase
Mcavernosa24119	Solute carrier family 13
Mcavernosa13247	CybS, succinate dehydrogenase cytochrome B small subunit
Mcavernosa29847	Immunoglobulin C-2 Type
Mcavernosa01648	4-coumarate--CoA ligase 1-like
Mcavernosa01061	intraflagellar transport
Mcavernosa15861	PTK6 protein tyrosine kinase
Mcavernosa17292	negative chemotaxis
Mcavernosa21285	Helicase required for RNAi-mediated heterochromatin assembly
Mcavernosa34022	negative regulation of cell growth involved in cardiac muscle cell development
Mcavernosa10858	ATP-dependent RNA helicase
Mcavernosa25582	Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.
Mcavernosa15201	structural constituent of ribosome
Mcavernosa28815	non-haem dioxygenase in morphine synthesis N-terminal
Mcavernosa24038	D-glutamate cyclase activity
Mcavernosa16004	response to vitamin B1
Mcavernosa13115	Hint (Hedgehog/Intein) domain N-terminal region
Mcavernosa27287	Ligand for members of the frizzled family of seven transmembrane receptors
Mcavernosa06548	ribosomal protein
Mcavernosa00182	small nuclear RNA activating complex, polypeptide
Mcavernosa22164	Extracellular calcium-sensing receptor-like
Mcavernosa00931	Component of the coenzyme Q biosynthetic pathway. May play a role in organizing a multi-subunit COQ enzyme complex required for coenzyme Q biosynthesis. Required for steady-state levels of other COQ polypeptides
Mcavernosa16704	Eukaryotic elongation factor 2 kinase
Mcavernosa10760	chromatin binding
Mcavernosa29969	EP4 subtype prostaglandin E2 receptor binding
Mcavernosa29697	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity
Mcavernosa17235	phosphatidylinositol glycan anchor biosynthesis, class K
Mcavernosa17148	Transmembrane amino acid transporter protein
Mcavernosa11968	calcium-dependent phospholipid binding
Mcavernosa00055	X-Pro dipeptidyl-peptidase (S15 family)
Mcavernosa18396	forebrain ventricular zone progenitor cell division
Mcavernosa06160	fibroblast growth factor-activated receptor activity
Mcavernosa20534	-
Mcavernosa19664	structural constituent of cytoskeleton
Mcavernosa27847	regulation of mammary gland epithelial cell proliferation
Mcavernosa33408	TerD domain
Mcavernosa14994	DNA strand elongation involved in nuclear cell cycle DNA replication
Mcavernosa04545	3-oxo-5-alpha-steroid 4-dehydrogenase
Mcavernosa06430	Glutathione S-transferase, C-terminal domain
Mcavernosa03779	Fibroblast growth factor receptor
Mcavernosa06546	Methyltransferase domain
Mcavernosa20656	catalase activity
Mcavernosa06108	fast, calcium ion-dependent exocytosis of neurotransmitter
Mcavernosa18559	[heparan sulfate]-glucosamine N-sulfotransferase activity
Mcavernosa28158	chromatin remodeling
Mcavernosa18807	Chromosome-associated kinesin KIF4A
Mcavernosa23312	E3 ubiquitin-protein ligase
Mcavernosa06600	Golgi-associated plant pathogenesis-related protein 1-like
Mcavernosa21750	serine-type endopeptidase inhibitor activity
Mcavernosa10011	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa35175	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Mcavernosa10289	regulation of sequestering of zinc ion
Mcavernosa14445	phosphatidylinositol-4-phosphate binding
Mcavernosa13585	malectin
Mcavernosa22448	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
Mcavernosa06245	G-protein coupled receptor activity
Mcavernosa31082	PLAT/LH2 domain
Mcavernosa17159	microtubule motor activity
Mcavernosa16388	DTW domain containing 1
Mcavernosa02646	semaphorin receptor binding
Mcavernosa07107	WD domain, G-beta repeat
Mcavernosa19105	ubiquinone biosynthetic process
Mcavernosa31890	metal ion binding
Mcavernosa33583	protein ubiquitination
Mcavernosa22643	apoptotic process
Mcavernosa12750	tRNA threonylcarbamoyladenosine modification
Mcavernosa04838	Hydrolase
Mcavernosa30869	Tachylectin
Mcavernosa25467	translation factor activity, non-nucleic acid binding
Mcavernosa11610	Activating transcription factor
Mcavernosa14521	Small nuclear ribonucleoprotein
Mcavernosa02335	purine-specific mismatch base pair DNA N-glycosylase activity
Mcavernosa33095	Presequence protease
Mcavernosa10459	EGF domain-specific O-linked N-acetylglucosamine
Mcavernosa35169	-
Mcavernosa32180	Thrombospondin type 1 repeats
Mcavernosa23261	calcium ion binding
Mcavernosa03007	glomerular parietal epithelial cell differentiation
Mcavernosa01102	carbohydrate binding
Mcavernosa04185	Deacetylates O-acetyl-ADP ribose. Down-regulates ribonuclease 3 (RNase III) activity. Acts by interacting directly with the region of the ribonuclease that is required for dimerization activation
Mcavernosa34381	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Mcavernosa31891	negative regulation of lipopolysaccharide-mediated signaling pathway
Mcavernosa02415	lysosomal lumen pH elevation
Mcavernosa27954	Src homology 3 domains
Mcavernosa26758	Zona pellucida (ZP) domain
Mcavernosa12130	GABA-A receptor activity
Mcavernosa27987	collagen
Mcavernosa28056	activation of NF-kappaB-inducing kinase activity
Mcavernosa30621	O-glycan processing, core 1
Mcavernosa17287	calcium ion binding
Mcavernosa24725	Clavaminate synthase-like protein At3g21360-like
Mcavernosa15350	Rho guanyl-nucleotide exchange factor activity
Mcavernosa10431	cyclic nucleotide-gated ion channel activity
Mcavernosa02684	Family with sequence similarity 46, member
Mcavernosa02373	Belongs to the imidazoleglycerol-phosphate dehydratase family
Mcavernosa35216	Redoxin
Mcavernosa02904	sodium:bicarbonate symporter activity
Mcavernosa23635	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa18077	brain protein I3
Mcavernosa05460	positive regulation of mitotic centrosome separation
Mcavernosa21605	ribosomal large subunit assembly
Mcavernosa21513	ATP synthase
Mcavernosa04394	cis-stilbene-oxide hydrolase activity
Mcavernosa20953	re-entry into mitotic cell cycle
Mcavernosa21147	Guanylate kinase
Mcavernosa32342	guanine nucleotide exchange factor
Mcavernosa05619	synaptic vesicle exocytosis
Mcavernosa05479	phosphatidylinositol transfer protein
Mcavernosa15147	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa34093	O-acetyltransferase activity
Mcavernosa05469	BRCA1 interacting protein C-terminal helicase 1
Mcavernosa18404	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
Mcavernosa26184	A disintegrin and metalloproteinase with thrombospondin motifs
Mcavernosa14777	NADH dehydrogenase (ubiquinone) flavoprotein 2
Mcavernosa24148	calcium ion binding
Mcavernosa07655	tRNA 5'-leader removal
Mcavernosa34431	microtubule motor activity
Mcavernosa15177	positive regulation of glomerular metanephric mesangial cell proliferation
Mcavernosa15653	protein O-GlcNAc transferase activity
Mcavernosa27911	intracellular distribution of mitochondria
Mcavernosa09493	selenocysteine incorporation
Mcavernosa18756	numb homolog
Mcavernosa29031	voltage-gated sodium channel activity
Mcavernosa14153	Carboxylesterase family
Mcavernosa02392	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Mcavernosa29956	serine-type endopeptidase activity
Mcavernosa32301	Aldolase/RraA
Mcavernosa12042	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Mcavernosa25597	intracellular chloride channel activity
Mcavernosa06535	extracellular ligand-gated ion channel activity
Mcavernosa22693	Golgi apparatus protein
Mcavernosa12107	Transmembrane protein 131-like
Mcavernosa22803	Belongs to the cullin family
Mcavernosa03353	Centrosomal protein
Mcavernosa27421	alpha-galactosidase activity
Mcavernosa19624	7,8-dihydroneopterin 3'-triphosphate biosynthetic process
Mcavernosa16401	positive regulation of synapse maturation
Mcavernosa22114	Fatty acid desaturase
Mcavernosa07587	glycosylceramidase activity
Mcavernosa30182	all-trans-retinol 13,14-reductase activity
Mcavernosa16163	spectrin binding
Mcavernosa00233	GTPase activity
Mcavernosa31802	Family with sequence similarity 20, member B (H. sapiens)
Mcavernosa10548	heme binding
Mcavernosa12980	protein-glutamine gamma-glutamyltransferase activity
Mcavernosa03275	WD40 repeats
Mcavernosa30528	Aldehyde dehydrogenase 7 family member A1
Mcavernosa05844	neurotransmitter:sodium symporter activity
Mcavernosa02444	transmembrane transport
Mcavernosa04996	melatonin receptor activity
Mcavernosa28778	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
Mcavernosa28146	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
Mcavernosa28808	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa13540	histone H3-K23 acetylation
Mcavernosa00987	Glutathione S-transferase, N-terminal domain
Mcavernosa15326	WD40 repeats
Mcavernosa13254	acetylcholine-gated cation-selective channel activity
Mcavernosa03719	Echinoderm microtubule associated protein like
Mcavernosa26368	fibroblast growth factor-activated receptor activity
Mcavernosa24233	Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX
Mcavernosa10879	Coiled-coil domain-containing protein 42 homolog
Mcavernosa31060	vacuolar protein sorting-associated protein 72 homolog
Mcavernosa01654	aldose 1-epimerase activity
Mcavernosa18625	Paired box
Mcavernosa29947	digestion
Mcavernosa11197	Translin-associated factor X-interacting N-terminus
Mcavernosa05897	procollagen-proline 4-dioxygenase activity
Mcavernosa05330	Bardet-Biedl syndrome 9
Mcavernosa13398	protein serine/threonine kinase activity
Mcavernosa10827	serine threonine-protein kinase PRP4 homolog
Mcavernosa22316	Scavenger receptor Cys-rich
Mcavernosa13816	KR domain
Mcavernosa17673	5'-tyrosyl-DNA phosphodiesterase activity
Mcavernosa11763	sensory neuron axon guidance
Mcavernosa20563	proteasome assembly
Mcavernosa04110	nucleic acid-templated transcription
Mcavernosa17805	protein-arginine omega-N symmetric methyltransferase activity
Mcavernosa31004	sodium channel activity
Mcavernosa19181	metalloendopeptidase activity
Mcavernosa04090	thick ascending limb development
Mcavernosa19887	transmembrane transport
Mcavernosa13209	beta-catenin binding
Mcavernosa21007	It is involved in the biological process described with chromatin remodeling
Mcavernosa31832	proteasomal ATPase-associated factor 1
Mcavernosa05384	Prefoldin subunit
Mcavernosa14372	scavenger receptor activity
Mcavernosa04109	to Saccharomyces cerevisiae TAF5 (YBR198C)
Mcavernosa17995	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
Mcavernosa21599	RNA splicing
Mcavernosa31554	Like-glycosyltransferase
Mcavernosa24917	animal organ development
Mcavernosa22534	ATP-dependent RNA helicase activity
Mcavernosa12014	glycerophosphodiester phosphodiesterase 1
Mcavernosa04556	aspartic endopeptidase activity, intramembrane cleaving
Mcavernosa13912	cilium movement involved in cell motility
Mcavernosa10606	protein C17orf98 homolog
Mcavernosa03389	ubiquitin-dependent ERAD pathway
Mcavernosa32015	negative regulation of cell growth
Mcavernosa34371	complement component C3a binding
Mcavernosa26121	Complement component 1 q
Mcavernosa12835	DNA primase activity
Mcavernosa05838	phosphodiesterase I activity
Mcavernosa26250	intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity
